INFO:main.py:line 10:  Initiated program
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//advanced_search.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //advanced_search HTTP/1.1" 301 235
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /advanced_search HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//advanced_search.
INFO:main.py:line 150:  Start get URLS for https://google.com//advanced_search
INFO:main.py:line 166:  End get URLS for https://google.com//advanced_search
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//intl/en/ads/.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //intl/en/ads/ HTTP/1.1" 301 232
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /intl/en/ads/ HTTP/1.1" 301 233
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): ads.google.com:443
DEBUG:connectionpool.py:line 437:  https://ads.google.com:443 "GET /intl/en/home/ HTTP/1.1" 200 97990
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//intl/en/ads/.
INFO:main.py:line 150:  Start get URLS for https://google.com//intl/en/ads/
INFO:main.py:line 166:  End get URLS for https://google.com//intl/en/ads/
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//services/.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //services/ HTTP/1.1" 301 229
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /services/ HTTP/1.1" 200 86169
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//services/.
INFO:main.py:line 150:  Start get URLS for https://google.com//services/
INFO:main.py:line 166:  End get URLS for https://google.com//services/
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//intl/en/about.html.
